#                      Published-Value                         |                      NED-Homogenized-Values                   
#      Spectral-axis           Intensity         Uncertainty   |          Spectral-axis           Intensity         Uncertainty
#         [Angstrom]      [erg/cm^2/s/A]      [erg/cm^2/s/A]   |                   [Hz]          [W/m^2/Hz]          [W/m^2/Hz]
              4004.8          4.0958e-15                       |         7.48582848e+14      2.19118831e-29                    
              4008.8          4.0985e-15                       |         7.47835909e+14      2.19701496e-29                    
              4012.8          4.0456e-15                       |         7.47090458e+14      2.17298769e-29                    
              4016.8          4.0168e-15                       |         7.46346492e+14      2.16182194e-29                    
              4020.9           4.011e-15                       |         7.45585463e+14      2.16310949e-29                    
              4024.9          3.9225e-15                       |         7.44844491e+14      2.11959281e-29                    
              4028.9          4.0364e-15                       |         7.44104989e+14      2.18547815e-29                    
              4032.9          4.0642e-15                       |         7.43366954e+14      2.20490191e-29                    
                4037          4.0309e-15                       |         7.42611987e+14      2.19128476e-29                    
                4041          3.9664e-15                       |         7.41876909e+14      2.16049620e-29                    
                4045          3.8918e-15                       |         7.41143286e+14      2.12406040e-29                    
                4049          3.9727e-15                       |         7.40411111e+14      2.17250417e-29                    
                4053          3.9866e-15                       |         7.39680382e+14      2.18441508e-29                    
              4057.1          3.9256e-15                       |         7.38932881e+14      2.15534485e-29                    
              4061.1          3.9208e-15                       |         7.38205065e+14      2.15695633e-29                    
              4065.1          3.8764e-15                       |         7.37478682e+14      2.13673344e-29                    
              4069.1          3.7218e-15                       |         7.36753727e+14      2.05555477e-29                    
              4073.2          4.0233e-15                       |         7.36012126e+14      2.22655375e-29                    
              4077.2          4.0858e-15                       |         7.35290050e+14      2.26558537e-29                    
              4081.2          3.6852e-15                       |         7.34569389e+14      2.04746324e-29                    
              4085.2          3.6667e-15                       |         7.33850140e+14      2.04118008e-29                    
              4089.3          3.6559e-15                       |         7.33114369e+14      2.03925506e-29                    
              4093.3          3.6825e-15                       |         7.32397965e+14      2.05811293e-29                    
              4097.3          3.7033e-15                       |         7.31682960e+14      2.07378495e-29                    
              4101.3          3.7358e-15                       |         7.30969349e+14      2.09607100e-29                    
              4105.4          3.6988e-15                       |         7.30239341e+14      2.07946254e-29                    
              4109.4          3.6747e-15                       |         7.29528542e+14      2.06994124e-29                    
              4113.4          3.6401e-15                       |         7.28819125e+14      2.05444490e-29                    
              4117.4           3.684e-15                       |         7.28111087e+14      2.08326749e-29                    
              4121.5          3.7339e-15                       |         7.27386774e+14      2.11569270e-29                    
              4125.5          3.7657e-15                       |         7.26681515e+14      2.13785476e-29                    
              4129.5          3.7527e-15                       |         7.25977622e+14      2.13460776e-29                    
              4133.5          3.6936e-15                       |         7.25275091e+14      2.10506272e-29                    
              4137.5          3.6776e-15                       |         7.24573919e+14      2.10000244e-29                    
              4141.6          3.7475e-15                       |         7.23856623e+14      2.14416025e-29                    
              4145.6          3.8076e-15                       |         7.23158189e+14      2.18275708e-29                    
              4149.6          3.7189e-15                       |         7.22461102e+14      2.13602468e-29                    
              4153.6          3.6775e-15                       |         7.21765358e+14      2.11631991e-29                    
              4157.7          3.6269e-15                       |         7.21053609e+14      2.09132330e-29                    
              4161.7          3.7053e-15                       |         7.20360571e+14      2.14064284e-29                    
              4165.7          3.7168e-15                       |         7.19668865e+14      2.15141637e-29                    
              4169.7          3.6775e-15                       |         7.18978485e+14      2.13275808e-29                    
              4173.8          3.7032e-15                       |         7.18272220e+14      2.15188834e-29                    
              4177.8          3.6819e-15                       |         7.17584516e+14      2.14361396e-29                    
              4181.8          3.6694e-15                       |         7.16898128e+14      2.14042921e-29                    
              4185.8          3.6661e-15                       |         7.16213051e+14      2.14259728e-29                    
              4189.9          3.6536e-15                       |         7.15512206e+14      2.13947694e-29                    
              4193.9          3.6419e-15                       |         7.14829774e+14      2.13669953e-29                    
              4197.9          3.6584e-15                       |         7.14148643e+14      2.15047631e-29                    
              4201.9          3.6786e-15                       |         7.13468809e+14      2.16647303e-29                    
                4206          3.6365e-15                       |         7.12773321e+14      2.14586020e-29                    
                4210           3.666e-15                       |         7.12096102e+14      2.16738442e-29                    
                4214          3.6333e-15                       |         7.11420168e+14      2.15213553e-29                    
                4218           3.594e-15                       |         7.10745517e+14      2.13290012e-29                    
                4222          3.5833e-15                       |         7.10072144e+14      2.13058528e-29                    
              4226.1           3.598e-15                       |         7.09383259e+14      2.14348275e-29                    
              4230.1          3.5912e-15                       |         7.08712463e+14      2.14348356e-29                    
              4234.1          3.5619e-15                       |         7.08042935e+14      2.13001784e-29                    
              4238.1          3.5658e-15                       |         7.07374670e+14      2.13638085e-29                    
              4242.2          3.5443e-15                       |         7.06691007e+14      2.12761013e-29                    
              4246.2          3.5415e-15                       |         7.06025291e+14      2.12994031e-29                    
              4250.2          3.5354e-15                       |         7.05360828e+14      2.13027950e-29                    
              4254.2          3.5273e-15                       |         7.04697614e+14      2.12940123e-29                    
              4258.3           3.564e-15                       |         7.04019113e+14      2.15570585e-29                    
              4262.3          3.5226e-15                       |         7.03358419e+14      2.13466955e-29                    
              4266.3          3.4455e-15                       |         7.02698964e+14      2.09186827e-29                    
              4270.3          3.4874e-15                       |         7.02040744e+14      2.12127919e-29                    
              4274.4           3.505e-15                       |         7.01367347e+14      2.13608062e-29                    
              4278.4          3.5129e-15                       |         7.00711619e+14      2.14490397e-29                    
              4282.4          3.5001e-15                       |         7.00057115e+14      2.14108648e-29                    
              4286.4          3.4747e-15                       |         6.99403833e+14      2.12952137e-29                    
              4290.5          3.4668e-15                       |         6.98735483e+14      2.12874625e-29                    
              4294.5           3.458e-15                       |         6.98084664e+14      2.12730372e-29                    
              4298.5          3.4548e-15                       |         6.97435056e+14      2.12929615e-29                    
              4302.5          3.4527e-15                       |         6.96786657e+14      2.13196415e-29                    
              4306.5             3.5e-15                       |         6.96139461e+14      2.16519115e-29                    
              4310.6          3.5448e-15                       |         6.95477333e+14      2.19708309e-29                    
              4314.6          3.5143e-15                       |         6.94832566e+14      2.18222339e-29                    
              4318.6          3.5747e-15                       |         6.94188994e+14      2.22384676e-29                    
              4322.6          3.4505e-15                       |         6.93546613e+14      2.15055932e-29                    
              4326.7          3.5191e-15                       |         6.92889405e+14      2.19747767e-29                    
              4330.7          3.4933e-15                       |         6.92249426e+14      2.18540222e-29                    
              4334.7          3.5074e-15                       |         6.91610628e+14      2.19827836e-29                    
              4338.7          3.4614e-15                       |         6.90973008e+14      2.17345338e-29                    
              4342.8          3.4553e-15                       |         6.90320666e+14      2.17372557e-29                    
              4346.8          3.4604e-15                       |         6.89685421e+14      2.18094602e-29                    
